Genes,0a,0b,4a,4b,8a,8b,12a,12b,16a,16b,20a,20b
Mp1g01270,171.1365575,163.5941976,205.9849806,187.6102153,278.2986054,182.6397397,236.6440397,250.5978156,226.984912,254.5670648,223.0074249,274.8902028
Mp1g01280,205.3674641,155.7107593,148.6788179,128.5702727,192.7118781,124.4963183,217.9635575,238.2649347,249.5909023,243.4851293,260.0700756,189.3574945
Mp1g01290,1283.822573,1347.425138,1801.936227,1792.131783,1042.471972,1767.006142,1664.784992,1669.051449,1514.421646,1335.005834,964.628279,903.8662806
Mp1g01300,1185.895433,918.6017431,1231.196073,994.5096484,1963.799005,1103.307396,1167.317442,1124.081127,989.075265,1060.768108,1539.160198,2294.127611
Mp1g01310,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g01320,519.6021295,492.7965577,445.0255951,400.0552475,551.3776527,514.0409398,542.1901164,546.5572853,483.204523,448.3048502,357.3825271,341.6559015
Mp1g01330,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,1.69478644,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g01340,1899.660018,1854.655367,1336.8128,2176.187369,1103.4853,1236.918637,1515.709276,1602.206512,1874.543842,1850.795874,1365.055737,1697.104065
Mp1g01350,91.21768011,52.64151209,36.96536666,144.6407776,18.57710574,7.95472254,25.19815087,19.19809984,34.6837317,58.38921379,69.55530228,24.36862466
Mp1g01360,439.882505,411.3548168,378.2596869,451.2918325,381.9378161,460.0551948,537.6009269,440.3278179,529.1726154,422.6346413,366.6633903,644.2814132
Mp1g01370,7.195501178,18.50251903,16.21379717,13.46261118,18.18411472,19.7291826,18.63290351,17.91404952,12.15425302,13.15917281,17.39218904,11.78814673
Mp1g01380,186.025504,182.480476,193.3853187,245.6816092,158.4943162,259.0831172,221.6739831,255.4416989,250.5127437,211.6404308,204.8114775,212.564916
Mp1g01390,372.9878336,347.4376398,289.641815,341.8059888,180.8742479,240.0251913,197.4450922,232.6185744,317.6015229,288.2488807,208.9087438,218.9798441
Mp1g01400,408.7648862,346.4200199,445.9348367,487.0945852,515.5447728,508.3395058,590.660382,549.7500402,463.2525032,472.3733321,439.3262684,508.6119398
Mp1g01410,1448.781126,1483.512101,1170.179709,1077.115942,1183.406617,1213.84488,1457.038929,1445.521086,1689.710689,1860.195667,1371.170862,1325.787063
Mp1g01420,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g01430,720.9032098,716.1084663,825.1385331,740.1602758,2072.315638,1073.01954,1470.851076,1321.427223,1011.5723,998.4710724,1504.918226,2796.556236
Mp1g01440,27.68621855,38.55542217,24.88384216,21.94527078,55.9646971,42.37310828,13.17216891,19.74312069,43.67612646,23.90269924,96.75520818,121.3255487
Mp1g01450,1897.777022,2094.844017,1026.42422,531.0570474,1109.090298,1573.850098,3790.680203,4342.451274,2752.085301,3229.449575,1570.85057,1448.34421
