target_id	TF_id	cor	p	in_fimo	target_name	TF_name
Mp2g20790	Mp8g03980	0.941811212128291	4.76272810479017e-06	FALSE	DOF1	GRAS10
Mp2g22250	Mp8g03980	0.863824211922613	0.000292110635431442	FALSE	AP2B3-1	GRAS10
Mp2g23600	Mp8g03980	0.828369609634696	0.00087251211679451	FALSE	ABI5A	GRAS10
Mp2g26400	Mp8g03980	0.862452223538038	0.00030638568897956	FALSE	BHLH49	GRAS10
Mp3g00010	Mp8g03980	0.87721402050958	0.000178230838745908	FALSE	WRKY1	GRAS10
Mp3g02830	Mp8g03980	0.874106861634012	0.000200858018212902	FALSE	R2R3-MYB4	GRAS10
Mp3g05000	Mp8g03980	0.824140695800938	0.000978028557262256	FALSE	1R-MYB8	GRAS10
Mp3g06860	Mp8g03980	0.927619096551301	1.38434879592975e-05	FALSE	SAWADEE	GRAS10
Mp3g19510	Mp8g03980	0.897429539635878	7.50991781077737e-05	FALSE	SRS (1)	GRAS10
Mp3g21490	Mp8g03980	0.829970056041752	0.000834960332020795	FALSE	C2H2-14	GRAS10
Mp3g25200	Mp8g03980	0.82628173550584	0.000923445654569477	FALSE	BHLH41	GRAS10
Mp4g01540	Mp8g03980	0.884283574631645	0.000134144546599657	FALSE	BHLH10	GRAS10
Mp4g07330	Mp8g03980	0.851566828844445	0.000439871784998491	FALSE	GARP4	GRAS10
Mp4g08690	Mp8g03980	0.86387546318877	0.00029158761152015	FALSE	C3H (6)	GRAS10
Mp4g08700	Mp8g03980	0.825507157336238	0.000942913695440639	FALSE	GARP2	GRAS10
Mp4g11820	Mp8g03980	0.905989933772305	4.92982398925257e-05	FALSE	ARF2	GRAS10
Mp4g15170	Mp8g03980	0.842778266049127	0.000577408299944793	FALSE	GARP6	GRAS10
Mp4g15240	Mp8g03980	0.923693024393386	1.79069841133028e-05	FALSE	TRIHELIX27	GRAS10
Mp4g18230	Mp8g03980	-0.900915270560979	6.35595157612023e-05	FALSE	TRIHELIX17	GRAS10
Mp4g21790	Mp8g03980	0.87073915079092	0.000227851892252051	FALSE	R2R3-MYB20	GRAS10
Mp5g03020	Mp8g03980	-0.897655667197643	7.43041281849877e-05	FALSE	BHLH1	GRAS10
Mp5g09660	Mp8g03980	-0.824487297224653	0.000969027809786027	FALSE	S1Fa-like (1)	GRAS10
Mp5g13130	Mp8g03980	0.860833170602275	0.000323923658555936	FALSE	C2H2 (3)	GRAS10
Mp5g13160	Mp8g03980	0.882605765238222	0.000143734598709422	FALSE	LD	GRAS10
Mp5g18910	Mp8g03980	0.906634638828045	4.76839654499628e-05	FALSE	BHLH40	GRAS10
Mp6g00540	Mp8g03980	0.830334993075389	0.000826575298368049	FALSE	TZF	GRAS10
Mp6g06850	Mp8g03980	-0.837236497596983	0.000679885922676426	FALSE	ASLBD16	GRAS10
Mp6g07410	Mp8g03980	-0.830372496865911	0.000825717287097127	FALSE	NF-YB (1)	GRAS10
Mp7g00210	Mp8g03980	0.848042918047988	0.000491554695467356	FALSE	BZIP10	GRAS10
Mp7g09740	Mp8g03980	0.874664771845878	0.000196638536536842	FALSE	GARP8	GRAS10
Mp7g11330	Mp8g03980	0.896268233282436	7.92880551965247e-05	FALSE	GARP5	GRAS10
Mp7g18530	Mp8g03980	0.844757045876774	0.000543878278239429	FALSE	C3H (10)	GRAS10
Mp8g01190	Mp8g03980	0.84769232483568	0.000496943284221896	FALSE	BBX4	GRAS10
Mp8g03980	Mp8g04010	0.828172869845556	0.00087721677037722	FALSE	GRAS10	C3H (12)
Mp1g11660	Mp8g04130	0.92352075610672	1.8104676052122e-05	FALSE	WOX13	BHLH24
Mp1g23000	Mp8g04130	0.895604315762605	8.17638503403106e-05	FALSE	BAM1	BHLH24
Mp5g18050	Mp8g04130	0.900419902002818	6.51084119556167e-05	FALSE	CLE2	BHLH24
Mp5g21990	Mp8g06230	0.83226068552994	0.000783400769488907	FALSE	NSP1	BHLH51
Mp6g13820	Mp8g07390	0.879211629982111	0.000164770835472172	FALSE	SCL4	BZR1
Mp5g18050	Mp8g08100	0.931361478541575	1.06843582767802e-05	FALSE	CLE2	TRIHELIX33
Mp5g21990	Mp8g08100	0.906892109407064	4.70510247296829e-05	TRUE	NSP1	TRIHELIX33
Mp1g11660	Mp8g09250	0.858676027604858	0.000348493249747506	FALSE	WOX13	ASLBD17
Mp1g23000	Mp8g09250	0.846381495426429	0.000517497844150672	FALSE	BAM1	ASLBD17
Mp5g18050	Mp8g09250	0.932048663854747	1.01720734431154e-05	FALSE	CLE2	ASLBD17
Mp5g21990	Mp8g09250	0.900781692271354	6.39743019470451e-05	FALSE	NSP1	ASLBD17
Mp1g11660	Mp8g10640	0.904683660617834	5.27006162598376e-05	FALSE	WOX13	WRKY2
Mp1g23000	Mp8g10640	0.942317170477911	4.56316822861069e-06	TRUE	BAM1	WRKY2
Mp1g27720	Mp8g11450	0.884516588912376	0.000132853308211445	FALSE	CLV1	AP2L1
Mp1g11660	Mp8g11560	0.837874418595227	0.000667422067819334	FALSE	WOX13	ASLBD2
Mp2g03850	Mp8g11560	0.920918881147079	2.1305723648446e-05	FALSE	LS	ASLBD2
Mp5g18050	Mp8g11560	0.872881265933345	0.000210375400677032	FALSE	CLE2	ASLBD2
Mp5g20660	Mp8g11850	0.902508931833313	5.87718342042187e-05	FALSE	DELLA1	SBP (2)
Mp7g12630	Mp8g11850	0.878210015116275	0.000171416549028525	FALSE	DELLA2	SBP (2)
Mp8g03980	Mp8g11850	0.852951917175117	0.000420755646979298	TRUE	GRAS10	SBP (2)
Mp1g09960	Mp8g12800	0.829727909493204	0.000840560207846952	FALSE	TDR	NIN/NLP
Mp1g11660	Mp8g13470	0.84831643728243	0.000487382300526473	FALSE	WOX13	BBX5
Mp2g03850	Mp8g13470	0.946844546698564	3.05576763581783e-06	FALSE	LS	BBX5
Mp5g18050	Mp8g13470	0.919101960709756	2.37939177512025e-05	FALSE	CLE2	BBX5
Mp5g21990	Mp8g13470	0.923833067592893	1.77475314706577e-05	FALSE	NSP1	BBX5
Mp1g27720	Mp8g14220	-0.903335721233906	5.64022572444589e-05	FALSE	CLV1	C2H2 (5)
Mp7g12630	Mp8g14220	-0.84309916176884	0.000571864782920706	FALSE	DELLA2	C2H2 (5)
Mp8g03980	Mp8g14220	-0.831352573890179	0.000803537949785493	FALSE	GRAS10	C2H2 (5)
Mp1g09960	Mp8g15500	-0.832088974720174	0.000787178182105386	FALSE	TDR	GRAS11
Mp1g25020	Mp8g15500	-0.826566664379085	0.000916362922696035	FALSE	C2H2-8	GRAS11
Mp1g26740	Mp8g15500	0.872111274347633	0.000216532391183133	FALSE	TRIHELIX5	GRAS11
Mp2g20790	Mp8g15500	-0.830149717005996	0.000830824153093879	FALSE	DOF1	GRAS11
Mp2g26400	Mp8g15500	-0.828789210268606	0.000862543269334104	FALSE	BHLH49	GRAS11
Mp3g05000	Mp8g15500	-0.827757635617643	0.000887210581282272	FALSE	1R-MYB8	GRAS11
Mp3g05910	Mp8g15500	-0.845573378352761	0.000530494226947287	FALSE	MYB (1)	GRAS11
Mp3g19510	Mp8g15500	-0.838195125395952	0.000661223213202167	FALSE	SRS (1)	GRAS11
